p_rack_locks,p_bike_racks,b_state,p_spot,b_active,p_booked_bikes,p_place_type,datetime,b_number,trip,p_uid,p_bikes,p_lat,b_electric_lock,b_bike_type,p_name,p_free_racks,p_address,b_lock_types,city,p_number,b_pedelec_battery,p_lng,b_boardcomputer,p_maintenance,p_terminal_type,p_bike,p_bike_types
False,0,ok,False,True,0,12,2019-01-30 00:00:00,93716,first,12325000,1,51.044007777778,True,15,BIKE 93716,0,,frame_lock,dresden,0,0,13.737693888889,7551005499,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 23:59:00,93716,last,12357659,1,51.043613333333,True,15,BIKE 93716,0,,frame_lock,dresden,0,0,13.738843333333,7551005499,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 00:00:00,93789,first,12332858,1,51.067831111111,True,15,BIKE 93789,0,,frame_lock,dresden,0,0,13.75318,7551003441,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 07:07:00,93789,start,12332858,1,51.068105555556,True,15,BIKE 93789,0,,frame_lock,dresden,0,0,13.752778124999,7551003441,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 07:17:00,93789,end,12339022,1,51.051715555556,True,15,BIKE 93789,0,,frame_lock,dresden,0,0,13.731603333333,7551003441,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 14:14:00,93789,start,12344115,1,51.051333333334,True,15,BIKE 93789,0,,frame_lock,dresden,0,0,13.731615,7551003441,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 14:21:00,93789,end,12347378,1,51.051088888889,True,15,BIKE 93789,0,,frame_lock,dresden,0,0,13.720503333333,7551003441,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 23:59:00,93789,last,12357943,1,51.051195555556,True,15,BIKE 93789,0,,frame_lock,dresden,0,0,13.720624444444,7551003441,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 00:00:00,93731,first,12329997,1,51.035568888888,True,15,BIKE 93731,0,,frame_lock,dresden,0,0,13.718451666666,7551006403,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 00:06:00,93731,start,12329997,1,51.035568888888,True,15,BIKE 93731,0,,frame_lock,dresden,0,0,13.718451666666,7551006403,False,,True,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-30 00:18:00,93731,end,264547,1,51.026486545356,True,15,Zellescher Weg,0,,frame_lock,dresden,4347,0,13.755607008934,7551006403,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-30 12:51:00,93731,start,264547,1,51.026486545356,True,15,Zellescher Weg,0,,frame_lock,dresden,4347,0,13.755607008934,7551006403,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,7,2019-01-30 13:02:00,93731,end,14103,1,51.046156,True,15,Ibis Hotel Königstein / Prager Straße,0,,frame_lock,dresden,4417,0,13.736576,7551006403,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,7,2019-01-30 16:51:00,93731,start,14103,1,51.046156,True,15,Ibis Hotel Königstein / Prager Straße,0,,frame_lock,dresden,4417,0,13.736576,7551006403,False,,False,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 16:56:00,93731,end,12350786,1,51.041986666667,True,15,BIKE 93731,0,,frame_lock,dresden,0,0,13.733942222222,7551006403,False,,True,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-30 18:56:00,93731,start,120,3,51.040476453474,True,15,Hauptbahnhof,0,,frame_lock,dresden,4313,0,13.733623623848,7551006403,True,,False,"{""15"": 3}"
False,0,ok,False,True,0,12,2019-01-30 19:18:00,93731,end,12353814,1,51.045498,True,15,BIKE 93731,0,,frame_lock,dresden,0,0,13.7909364,7551006403,False,,True,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-30 23:59:00,93731,last,264605,4,51.048412423104,True,15,Barbarossaplatz,0,,frame_lock,dresden,4398,0,13.790733218193,7551006403,False,,False,"{""undefined"": 2, ""15"": 2}"
False,0,ok,True,True,0,0,2019-01-30 00:00:00,93513,first,10299584,4,51.04257,False,15,Malterstraße (Haltestelle),0,,analog_code_lock,dresden,4483,0,13.69113,0,False,free,False,"{""undefined"": 1, ""15"": 3}"
False,0,ok,True,True,0,0,2019-01-30 08:01:00,93513,start,10299584,5,51.04257,False,15,Malterstraße (Haltestelle),0,,analog_code_lock,dresden,4483,0,13.69113,0,False,free,False,"{""undefined"": 1, ""15"": 4}"
False,0,ok,False,True,0,12,2019-01-30 08:23:00,93513,end,12340451,1,51.028723623799,False,15,BIKE 93513,0,,analog_code_lock,dresden,0,0,13.732507258998,0,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 09:43:00,93513,last,12340451,1,51.028723623799,False,15,BIKE 93513,0,,analog_code_lock,dresden,0,0,13.732507258998,0,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 00:00:00,93147,first,12307357,1,51.037117198351,True,0,BIKE 93147,0,,frame_lock,dresden,0,0,13.719914833441,7551003506,False,,True,"{""undefined"": 1}"
False,0,ok,False,True,0,12,2019-01-30 07:53:00,93147,start,12337636,1,51.037057777778,True,0,BIKE 93147,0,,frame_lock,dresden,0,0,13.719994722222,7551003506,False,,True,"{""undefined"": 1}"
False,0,ok,True,True,0,0,2019-01-30 08:01:00,93147,end,264550,2,51.027292926752,True,0,Hempelbau /Mommsenstr. / Bergstr.,0,,frame_lock,dresden,4350,0,13.731064796448,7551003506,False,traffic_sign,False,"{""undefined"": 1, ""15"": 1}"
False,0,ok,False,True,0,12,2019-01-30 13:25:00,93147,start,12343944,1,51.028164444444,True,0,BIKE 93147,0,,frame_lock,dresden,0,0,13.731215555556,7551003506,False,,True,"{""undefined"": 1}"
False,0,ok,False,True,0,12,2019-01-30 13:29:00,93147,end,12346363,1,51.031373333333,True,0,BIKE 93147,0,,frame_lock,dresden,0,0,13.728586666667,7551003506,False,,True,"{""undefined"": 1}"
False,0,ok,False,True,0,12,2019-01-30 13:40:00,93147,start,12346363,1,51.031373333333,True,0,BIKE 93147,0,,frame_lock,dresden,0,0,13.728586666667,7551003506,False,,True,"{""undefined"": 1}"
False,0,ok,True,True,0,0,2019-01-30 13:51:00,93147,end,310791,2,51.046001084414,True,0,Conertplatz,0,,frame_lock,dresden,4437,0,13.6929666996,7551003506,False,,False,"{""undefined"": 1, ""15"": 1}"
False,0,ok,True,True,0,0,2019-01-30 23:37:00,93147,start,310791,5,51.046001084414,True,0,Conertplatz,0,,frame_lock,dresden,4437,0,13.6929666996,7551003506,False,,False,"{""undefined"": 1, ""15"": 4}"
False,0,ok,True,True,0,0,2019-01-30 23:51:00,93147,end,310789,5,51.030086474318,True,0,Haltepunkt Plauen,0,,frame_lock,dresden,4435,0,13.703261017799,7551003506,False,,False,"{""undefined"": 3, ""15"": 2}"
False,0,ok,True,True,0,0,2019-01-30 23:59:00,93147,last,310789,5,51.030086474318,True,0,Haltepunkt Plauen,0,,frame_lock,dresden,4435,0,13.703261017799,7551003506,False,,False,"{""undefined"": 3, ""15"": 2}"
False,0,ok,True,True,0,0,2019-01-30 13:42:00,93488,first,4405670,5,51.02837,True,0,Wundtstr. / Zellescher Weg,0,,frame_lock,dresden,4458,0,13.74773,7551005321,False,free,False,"{""undefined"": 2, ""15"": 3}"
False,0,ok,True,True,0,0,2019-01-30 18:29:00,93488,start,4405670,4,51.02837,True,0,Wundtstr. / Zellescher Weg,0,,frame_lock,dresden,4458,0,13.74773,7551005321,False,free,False,"{""undefined"": 2, ""15"": 2}"
False,0,ok,True,True,0,0,2019-01-30 18:58:00,93488,end,264588,1,51.030902914154,True,0,Teplitzer Str. / Reichenbachstr.,0,,frame_lock,dresden,4384,0,13.750821948051,7551005321,False,,False,"{""undefined"": 1}"
False,0,ok,True,True,0,0,2019-01-30 19:44:00,93488,start,264588,2,51.030902914154,True,0,Teplitzer Str. / Reichenbachstr.,0,,frame_lock,dresden,4384,0,13.750821948051,7551005321,False,,False,"{""undefined"": 1, ""15"": 1}"
False,0,ok,True,True,0,0,2019-01-30 20:02:00,93488,end,264600,1,51.04745464766,True,0,Holbeinstraße,0,,frame_lock,dresden,4393,0,13.779215812683,7551005321,False,,False,"{""undefined"": 1}"
False,0,ok,True,True,0,0,2019-01-30 23:59:00,93488,last,264600,1,51.04745464766,True,0,Holbeinstraße,0,,frame_lock,dresden,4393,0,13.779215812683,7551005321,False,,False,"{""undefined"": 1}"
False,0,ok,False,True,0,12,2019-01-30 00:00:00,93373,first,12331628,1,51.051271111111,True,0,BIKE 93373,0,,frame_lock,dresden,0,0,13.76341,7551002640,False,,True,"{""undefined"": 1}"
False,0,ok,False,True,0,12,2019-01-30 23:59:00,93373,last,12358184,1,51.051782222222,True,0,BIKE 93373,0,,frame_lock,dresden,0,0,13.763582222222,7551002640,False,,True,"{""undefined"": 1}"
