p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,free,0,4505,False,10299865,ok,93153,0,7551006387,2019-03-01 00:00:00,13.767585754395,,True,True,False,3,first,dresden,0,Altleubitz,0,51.01559733604,0,"{""undefined"": 2, ""15"": 1}"
True,frame_lock,False,0,free,0,4505,False,10299865,ok,93153,0,7551006387,2019-03-01 16:48:00,13.767585754395,,True,True,False,3,start,dresden,0,Altleubitz,0,51.01559733604,0,"{""undefined"": 2, ""15"": 1}"
True,frame_lock,False,0,free,0,4505,False,10299865,ok,93153,0,7551006387,2019-03-01 16:50:00,13.767585754395,,True,True,False,3,end,dresden,0,Altleubitz,0,51.01559733604,0,"{""undefined"": 2, ""15"": 1}"
True,frame_lock,False,0,free,0,4505,False,10299865,ok,93153,0,7551006387,2019-03-01 23:59:00,13.767585754395,,True,True,False,3,last,dresden,0,Altleubitz,0,51.01559733604,0,"{""undefined"": 2, ""15"": 1}"
False,frame_lock,False,0,,12,0,False,13061954,ok,93616,0,7551006429,2019-03-01 00:00:00,13.739637777778,,True,True,True,1,first,dresden,0,BIKE 93616,15,51.044693333333,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13072358,ok,93616,0,7551006429,2019-03-01 16:48:00,13.739798888889,,True,True,True,1,start,dresden,0,BIKE 93616,15,51.044677777778,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13072358,ok,93616,0,7551006429,2019-03-01 16:50:00,13.739798888889,,True,True,True,1,end,dresden,0,BIKE 93616,15,51.044677777778,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13072358,ok,93616,0,7551006429,2019-03-01 19:23:00,13.739776666667,,True,True,True,1,start,dresden,0,BIKE 93616,15,51.044674444444,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13079353,ok,93616,0,7551006429,2019-03-01 19:52:00,13.748347777778,,True,True,True,1,end,dresden,0,BIKE 93616,15,51.063368888889,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13079353,ok,93616,0,7551006429,2019-03-01 21:06:00,13.748347777778,,True,True,True,1,start,dresden,0,BIKE 93616,15,51.063368888889,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4413,False,43026,ok,93616,0,7551006429,2019-03-01 21:28:00,13.736944198608,,True,True,False,3,end,dresden,0,Altmarkt / Seestraße ,15,51.049427508558,0,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4413,False,43026,ok,93616,0,7551006429,2019-03-01 23:59:00,13.736944198608,,True,True,False,2,last,dresden,0,Altmarkt / Seestraße ,15,51.049427508558,0,"{""15"": 2}"
False,frame_lock,False,0,,12,0,False,13036048,ok,93362,0,7551005456,2019-03-01 00:00:00,13.713416936848,,True,True,True,1,first,dresden,0,BIKE 93362,0,51.081103248698,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13063845,ok,93362,0,7551005456,2019-03-01 16:48:00,13.713643541666,,True,True,True,1,start,dresden,0,BIKE 93362,0,51.081054652778,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13063845,ok,93362,0,7551005456,2019-03-01 16:50:00,13.713643541666,,True,True,True,1,end,dresden,0,BIKE 93362,0,51.081054652778,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13063845,ok,93362,0,7551005456,2019-03-01 23:59:00,13.713675581597,,True,True,True,1,last,dresden,0,BIKE 93362,0,51.080912942709,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4403,False,38955,ok,93625,0,7551005239,2019-03-01 00:00:00,13.739293813705,,True,True,False,3,first,dresden,0,Palaisplatz,15,51.060231225501,0,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4403,False,38955,ok,93625,0,7551005239,2019-03-01 02:26:00,13.739293813705,,True,True,False,4,start,dresden,0,Palaisplatz,15,51.060231225501,0,"{""undefined"": 1, ""15"": 3}"
False,frame_lock,False,0,,12,0,False,13063290,ok,93625,0,7551005239,2019-03-01 02:36:00,13.741921111111,,True,True,True,1,end,dresden,0,BIKE 93625,15,51.04956,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13064559,ok,93625,0,7551005239,2019-03-01 07:21:00,13.74213,,True,True,True,1,start,dresden,0,BIKE 93625,15,51.049608888889,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4302,False,2985,ok,93625,0,7551005239,2019-03-01 07:35:00,13.74731361866,,True,True,False,3,end,dresden,0,Albertplatz,15,51.063895958845,0,"{""15"": 3}"
True,frame_lock,False,0,,0,4302,False,2985,ok,93625,0,7551005239,2019-03-01 07:44:00,13.74731361866,,True,True,False,2,start,dresden,0,Albertplatz,15,51.063895958845,0,"{""15"": 2}"
False,frame_lock,False,0,,12,0,False,13066082,ok,93625,0,7551005239,2019-03-01 07:46:00,13.746457777778,,True,True,True,1,end,dresden,0,BIKE 93625,15,51.063453333333,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13066082,ok,93625,0,7551005239,2019-03-01 08:54:00,13.746457777778,,True,True,True,1,start,dresden,0,BIKE 93625,15,51.063453333333,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13067339,ok,93625,0,7551005239,2019-03-01 08:56:00,13.746381111111,,True,True,True,1,end,dresden,0,BIKE 93625,15,51.063404444444,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13067339,ok,93625,0,7551005239,2019-03-01 11:30:00,13.74639,,True,True,True,1,start,dresden,0,BIKE 93625,15,51.063615555556,0,"{""15"": 1}"
