p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,,0,4411,False,10924,,ok,93153,0,7551006387,2019-03-28 00:00:00,13.732599020004,,True,True,False,1,first,dresden,0,Postplatz / Staatsschauspiel Dresden,0,51.051869018341,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4411,False,10924,"{""percentage"": 0}",ok,93153,0,7551006387,2019-03-28 10:47:00,13.732599020004,,True,True,False,1,start,dresden,0,Postplatz / Staatsschauspiel Dresden,0,51.051869018341,0,"{""undefined"": 1}"
True,frame_lock,False,0,sign,0,4452,False,4405587,"{""percentage"": 0}",ok,93153,0,7551006387,2019-03-28 11:28:00,13.730576634407,,True,True,False,5,end,dresden,0,TU Dresden Hörsaalzentrum,0,51.029205917714,0,"{""undefined"": 4, ""15"": 1}"
True,frame_lock,False,0,sign,0,4452,False,4405587,"{""percentage"": 0}",ok,93153,0,7551006387,2019-03-28 13:02:00,13.730576634407,,True,True,False,5,start,dresden,0,TU Dresden Hörsaalzentrum,0,51.029205917714,0,"{""undefined"": 4, ""15"": 1}"
False,frame_lock,False,0,,12,0,False,13783469,,ok,93153,0,7551006387,2019-03-28 13:16:00,13.716585555556,Budapester Straße,True,True,True,1,end,dresden,0,BIKE 93153,0,51.037057777778,,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4349,False,264549,,ok,93153,0,7551006387,2019-03-28 14:59:00,13.715690374374,,True,True,False,2,start,dresden,0,Nossener Brücke,0,51.037126951669,,"{""undefined"": 2}"
True,frame_lock,False,0,free,0,4441,False,637839,,ok,93153,0,7551006387,2019-03-28 15:12:00,13.736386299133,,True,True,False,3,end,dresden,0,Sächsische Landesbibliothek,0,51.028932638124,,"{""undefined"": 2, ""15"": 1}"
True,frame_lock,False,0,free,0,4441,False,637839,,ok,93153,0,7551006387,2019-03-28 17:46:00,13.736386299133,,True,True,False,2,start,dresden,0,Sächsische Landesbibliothek,0,51.028932638124,,"{""undefined"": 2}"
True,frame_lock,True,0,,0,4313,False,120,,ok,93153,0,7551006387,2019-03-28 17:54:00,13.733623623848,,True,True,False,5,end,dresden,0,Hauptbahnhof,0,51.040476453474,,"{""undefined"": 2, ""15"": 3}"
False,frame_lock,False,0,,12,0,False,13799854,,ok,93153,0,7551006387,2019-03-28 23:59:00,13.734186666667,,True,True,True,1,last,dresden,0,BIKE 93153,0,51.039373333333,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13768830,,ok,93616,0,7551006429,2019-03-28 00:00:00,13.692961111111,,True,True,True,1,first,dresden,0,BIKE 93616,15,51.085391111111,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4307,False,94833,,ok,93616,0,7551006429,2019-03-28 21:57:00,13.694522380829,,True,True,False,3,start,dresden,0,Elbepark Dresden,15,51.085072905297,,"{""15"": 3}"
False,frame_lock,False,0,,12,0,False,13798986,,ok,93616,0,7551006429,2019-03-28 22:12:00,13.725611111111,Oschatzer Straße 42,True,True,True,1,end,dresden,0,BIKE 93616,15,51.077724444444,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13798986,,ok,93616,0,7551006429,2019-03-28 23:59:00,13.725366666667,Oschatzer Straße 35,True,True,True,1,last,dresden,0,BIKE 93616,15,51.077524444444,,"{""15"": 1}"
