p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,city,trip,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,free,0,4484,False,10299599,,ok,93153,0,7551006387,2019-03-30 00:00:00,13.74754,,True,True,False,2,dresden,first,0,Louisenstraße,0,51.06798,,"{""undefined"": 1, ""15"": 1}"
True,frame_lock,False,0,free,0,4484,False,10299599,,ok,93153,0,7551006387,2019-03-30 03:54:00,13.74754,,True,True,False,1,dresden,start,0,Louisenstraße,0,51.06798,,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4504,False,10299848,,ok,93153,0,7551006387,2019-03-30 04:03:00,13.72983,,True,True,False,4,dresden,end,0,Alexander-Puschkin-Platz,0,51.07035,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,free,0,4504,False,10299848,,ok,93153,0,7551006387,2019-03-30 13:43:00,13.72983,,True,True,False,3,dresden,start,0,Alexander-Puschkin-Platz,0,51.07035,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4374,False,264576,,ok,93153,0,7551006387,2019-03-30 13:55:00,13.751809000969,,True,True,False,1,dresden,end,0,Alaunstraße,0,51.066946872474,,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4374,False,264576,,ok,93153,0,7551006387,2019-03-30 17:42:00,13.751809000969,,True,True,False,2,dresden,start,0,Alaunstraße,0,51.066946872474,,"{""undefined"": 1, ""15"": 1}"
True,frame_lock,False,0,,0,4406,False,14266,,ok,93153,0,7551006387,2019-03-30 17:57:00,13.737244606018,,True,True,False,3,dresden,end,0,Theaterplatz / Semperoper,0,51.054286795519,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4406,False,14266,,ok,93153,0,7551006387,2019-03-30 18:16:00,13.737244606018,,True,True,False,3,dresden,start,0,Theaterplatz / Semperoper,0,51.054286795519,,"{""undefined"": 1, ""15"": 2}"
False,frame_lock,False,0,,12,0,False,13869353,,ok,93153,0,7551006387,2019-03-30 18:34:00,13.719388888889,,True,True,True,1,dresden,end,0,BIKE 93153,0,51.047951111111,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13871871,,ok,93153,0,7551006387,2019-03-30 21:17:00,13.719966666667,,True,True,True,1,dresden,start,0,BIKE 93153,0,51.048862222222,,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4486,False,10299640,,ok,93153,0,7551006387,2019-03-30 21:27:00,13.744711875916,,True,True,False,5,dresden,end,0,Wohnheim Gret-Palucca.Straße / Lenneplatz,0,51.038209747621,,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,free,0,4486,False,10299640,,ok,93153,0,7551006387,2019-03-30 23:59:00,13.744711875916,,True,True,False,5,dresden,last,0,Wohnheim Gret-Palucca.Straße / Lenneplatz,0,51.038209747621,,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4321,False,321013,,ok,93625,0,7551005239,2019-03-30 00:00:00,13.678997755051,,True,True,False,3,dresden,first,0,Ringhotel Residenz Alt Dresden,15,51.059779435159,,"{""15"": 3}"
True,frame_lock,False,0,,0,4321,False,321013,,ok,93625,0,7551005239,2019-03-30 17:15:00,13.678997755051,,True,True,False,3,dresden,start,0,Ringhotel Residenz Alt Dresden,15,51.059779435159,,"{""15"": 3}"
False,frame_lock,False,0,,12,0,False,13867510,,ok,93625,0,7551005239,2019-03-30 17:53:00,13.729328888889,,True,True,True,1,dresden,end,0,BIKE 93625,15,51.053022222222,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13867510,,ok,93625,0,7551005239,2019-03-30 17:54:00,13.729328888889,,True,True,True,1,dresden,start,0,BIKE 93625,15,51.053022222222,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13868981,,ok,93625,0,7551005239,2019-03-30 18:24:00,13.739526666667,,True,True,True,1,dresden,end,0,BIKE 93625,15,51.054875555556,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13876592,,ok,93625,0,7551005239,2019-03-30 23:59:00,13.744031111111,,True,True,True,1,dresden,last,0,BIKE 93625,15,51.055973333333,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13833080,,ok,93346,0,7551005453,2019-03-30 00:00:00,13.752877777778,Förstereistraße 54,True,True,True,1,dresden,first,0,BIKE 93346,0,51.07152,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13833080,,ok,93346,0,7551005453,2019-03-30 04:32:00,13.753383333333,Paulstraße 15,True,True,True,1,dresden,start,0,BIKE 93346,0,51.07172,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13840841,,ok,93346,0,7551005453,2019-03-30 04:43:00,13.739367777778,Hansastraße 30,True,True,True,1,dresden,end,0,BIKE 93346,0,51.069968888889,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13840841,,ok,93346,0,7551005453,2019-03-30 08:43:00,13.739296666667,Hansastraße 32,True,True,True,1,dresden,start,0,BIKE 93346,0,51.070035555556,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13844765,,ok,93346,0,7551005453,2019-03-30 09:11:00,13.756548888889,Dürerstraße 17,True,True,True,1,dresden,end,0,BIKE 93346,0,51.052662222222,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13844765,,ok,93346,0,7551005453,2019-03-30 09:12:00,13.756548888889,Dürerstraße 17,True,True,True,1,dresden,start,0,BIKE 93346,0,51.052662222222,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13844829,,ok,93346,0,7551005453,2019-03-30 09:15:00,13.758642222222,Dürerstraße 24,True,True,True,1,dresden,end,0,BIKE 93346,0,51.051968888889,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13847130,,ok,93346,0,7551005453,2019-03-30 14:34:00,13.757307777778,Dürerstraße,True,True,True,1,dresden,start,0,BIKE 93346,0,51.052537777778,,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4393,False,264600,,ok,93346,0,7551005453,2019-03-30 14:45:00,13.779215812683,,True,True,False,1,dresden,end,0,Holbeinstraße,0,51.04745464766,,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4393,False,264600,,ok,93346,0,7551005453,2019-03-30 23:59:00,13.779215812683,,True,True,False,4,dresden,last,0,Holbeinstraße,0,51.04745464766,,"{""undefined"": 1, ""15"": 3}"
True,frame_lock,False,0,,0,4309,False,75238,,ok,93438,0,7551006653,2019-03-30 00:00:00,13.790373802185,,True,True,False,4,dresden,first,0,Hp. Dresden-Reick,0,51.021027075562,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,,0,4309,False,75238,,ok,93438,0,7551006653,2019-03-30 23:59:00,13.790373802185,,True,True,False,3,dresden,last,0,Hp. Dresden-Reick,0,51.021027075562,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,free,0,4405,False,4442319,,ok,93766,0,7551002605,2019-03-30 00:00:00,13.782976269722,,True,True,False,3,dresden,first,0,Rothermundstr. / Zwinglistr.,15,51.033352147368,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,free,0,4405,False,4442319,,ok,93766,0,7551002605,2019-03-30 23:59:00,13.782976269722,,True,True,False,1,dresden,last,0,Rothermundstr. / Zwinglistr.,15,51.033352147368,,"{""15"": 1}"
True,frame_lock,False,0,,0,4507,False,11248297,,ok,93812,0,7551003389,2019-03-30 00:00:00,13.70521903038,,True,True,False,2,dresden,first,0,Ebertplatz,15,51.041488339927,,"{""15"": 2}"
True,frame_lock,False,0,,0,4507,False,11248297,,ok,93812,0,7551003389,2019-03-30 15:10:00,13.70521903038,,True,True,False,1,dresden,start,0,Ebertplatz,15,51.041488339927,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13861011,,ok,93812,0,7551003389,2019-03-30 15:48:00,13.768804444444,,True,True,True,1,dresden,end,0,BIKE 93812,15,51.06036,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13861011,,ok,93812,0,7551003389,2019-03-30 18:43:00,13.768973333333,,True,True,True,1,dresden,start,0,BIKE 93812,15,51.060511111111,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13870523,,ok,93812,0,7551003389,2019-03-30 19:08:00,13.708081111111,,True,True,True,1,dresden,end,0,BIKE 93812,15,51.042888888889,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13870523,,ok,93812,0,7551003389,2019-03-30 23:59:00,13.708078888889,,True,True,True,1,dresden,last,0,BIKE 93812,15,51.043271111111,,"{""15"": 1}"
True,frame_lock,False,0,free,0,4332,False,73,,ok,93197,0,7551003659,2019-03-30 00:17:00,13.741219639778,,True,True,False,1,dresden,first,0,Bf. Dresden-Neustadt,0,51.065183772328,,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4332,False,73,,ok,93197,0,7551003659,2019-03-30 03:09:00,13.741219639778,,True,True,False,1,dresden,start,0,Bf. Dresden-Neustadt,0,51.065183772328,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13840013,,ok,93197,0,7551003659,2019-03-30 03:33:00,13.760243333333,Lockwitzer Straße,True,True,True,1,dresden,end,0,BIKE 93197,0,51.027302222222,,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4385,False,264589,,ok,93197,0,7551003659,2019-03-30 23:59:00,13.758868575096,,True,True,False,1,dresden,last,0,Wasaplatz,0,51.028122911363,,"{""undefined"": 1}"
True,frame_lock,False,6,,0,4430,False,300244,,ok,93261,4,7551006641,2019-03-30 00:00:00,13.799300193787,,True,True,False,2,dresden,first,0,DVB Endpunkt Prohlis,0,50.999402205789,,"{""undefined"": 1, ""15"": 1}"
True,frame_lock,False,6,,0,4430,False,300244,,ok,93261,5,7551006641,2019-03-30 23:59:00,13.799300193787,,True,True,False,1,dresden,last,0,DVB Endpunkt Prohlis,0,50.999402205789,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13801323,,ok,93779,0,7551003427,2019-03-30 00:00:00,13.763863333333,Dohnaer Straße 11,True,True,True,1,dresden,first,0,BIKE 93779,15,51.026057777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13875532,,ok,93779,0,7551003427,2019-03-30 23:59:00,13.766235555556,,True,True,True,1,dresden,last,0,BIKE 93779,15,51.025,,"{""15"": 1}"
True,frame_lock,False,0,free,0,4486,False,10299640,,ok,93373,0,7551002640,2019-03-30 00:00:00,13.744711875916,,True,True,False,4,dresden,first,0,Wohnheim Gret-Palucca.Straße / Lenneplatz,0,51.038209747621,,"{""undefined"": 3, ""15"": 1}"
True,frame_lock,False,0,free,0,4486,False,10299640,,ok,93373,0,7551002640,2019-03-30 12:29:00,13.744711875916,,True,True,False,5,dresden,start,0,Wohnheim Gret-Palucca.Straße / Lenneplatz,0,51.038209747621,,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4314,False,12936,,ok,93373,0,7551002640,2019-03-30 14:13:00,13.751079440117,,True,True,False,5,dresden,end,0,Großer Garten / Lennéstraße,0,51.042628372186,,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4314,False,12936,,ok,93373,0,7551002640,2019-03-30 17:44:00,13.751079440117,,True,True,False,3,dresden,start,0,Großer Garten / Lennéstraße,0,51.042628372186,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4349,False,264549,,ok,93373,0,7551002640,2019-03-30 18:02:00,13.715690374374,,True,True,False,2,dresden,end,0,Nossener Brücke,0,51.037126951669,,"{""undefined"": 2}"
True,frame_lock,False,0,,0,4349,False,264549,,ok,93373,0,7551002640,2019-03-30 21:12:00,13.715690374374,,True,True,False,4,dresden,start,0,Nossener Brücke,0,51.037126951669,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,free,0,4482,False,10299563,,ok,93373,0,7551002640,2019-03-30 21:32:00,13.75129,,True,True,False,2,dresden,end,0,Bautzner Straße / Rothenburger Straße,0,51.06294,,"{""undefined"": 1, ""15"": 1}"
True,frame_lock,False,0,free,0,4482,False,10299563,,ok,93373,0,7551002640,2019-03-30 21:51:00,13.75129,,True,True,False,2,dresden,start,0,Bautzner Straße / Rothenburger Straße,0,51.06294,,"{""undefined"": 1, ""15"": 1}"
False,frame_lock,False,0,,12,0,False,13875266,,ok,93373,0,7551002640,2019-03-30 22:13:00,13.735301111111,,True,True,True,1,dresden,end,0,BIKE 93373,0,51.041933333333,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13875787,,ok,93373,0,7551002640,2019-03-30 23:59:00,13.736185555556,,True,True,True,1,dresden,last,0,BIKE 93373,0,51.04196,,"{""undefined"": 1}"
True,frame_lock,False,6,stele,0,4365,False,264566,,ok,93698,2,7551003551,2019-03-30 00:00:00,13.838900327682,,True,True,False,4,dresden,first,0,DVB Endpunkt Laubegast,15,51.022778359957,,"{""15"": 4}"
True,frame_lock,False,6,stele,0,4365,False,264566,,ok,93698,2,7551003551,2019-03-30 23:59:00,13.838900327682,,True,True,False,4,dresden,last,0,DVB Endpunkt Laubegast,15,51.022778359957,,"{""15"": 4}"
False,frame_lock,False,0,,12,0,False,13836075,,ok,93011,0,7551006305,2019-03-30 00:00:00,13.747111111111,Grunaer Straße 6,True,True,True,1,dresden,first,0,BIKE 93011,15,51.048577777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13838786,,ok,93011,0,7551006305,2019-03-30 08:58:00,13.747022222222,Grunaer Straße 9,True,True,True,1,dresden,start,0,BIKE 93011,15,51.048848888889,,"{""15"": 1}"
True,frame_lock,False,0,,0,4394,False,264601,,ok,93011,0,7551006305,2019-03-30 09:17:00,13.777585029602,,True,True,False,1,dresden,end,0,Pfotenhauer Straße,15,51.058585878272,,"{""15"": 1}"
True,frame_lock,False,0,,0,4394,False,264601,,ok,93011,0,7551006305,2019-03-30 10:46:00,13.777585029602,,True,True,False,1,dresden,start,0,Pfotenhauer Straße,15,51.058585878272,,"{""15"": 1}"
True,frame_lock,False,0,,0,4392,False,264599,,ok,93011,0,7551006305,2019-03-30 10:55:00,13.777724504471,,True,True,False,2,dresden,end,0,Mosenstraße,15,51.044739718786,,"{""15"": 2}"
True,frame_lock,False,0,,0,4392,False,264599,,ok,93011,0,7551006305,2019-03-30 12:07:00,13.777724504471,,True,True,False,1,dresden,start,0,Mosenstraße,15,51.044739718786,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13851739,,ok,93011,0,7551006305,2019-03-30 12:45:00,13.796364444444,Bodenbacher Straße 81a,True,True,True,1,dresden,end,0,BIKE 93011,15,51.029053333333,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13851739,,ok,93011,0,7551006305,2019-03-30 23:59:00,13.796261111111,Bodenbacher Straße 81a,True,True,True,1,dresden,last,0,BIKE 93011,15,51.028635555556,,"{""15"": 1}"
True,frame_lock,False,0,free,0,4481,False,10299537,,ok,93728,0,7551005500,2019-03-30 00:00:00,13.712477087975,,True,True,False,4,dresden,first,0,Cottaer Straße (Haltestelle),15,51.050166045123,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,free,0,4481,False,10299537,,ok,93728,0,7551005500,2019-03-30 13:49:00,13.712477087975,,True,True,False,1,dresden,start,0,Cottaer Straße (Haltestelle),15,51.050166045123,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13855378,,ok,93728,0,7551005500,2019-03-30 14:00:00,13.727213333333,,True,True,True,1,dresden,end,0,BIKE 93728,15,51.062457777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13855378,,ok,93728,0,7551005500,2019-03-30 16:01:00,13.726474444444,,True,True,True,1,dresden,start,0,BIKE 93728,15,51.0628,,"{""15"": 1}"
True,frame_lock,False,0,,0,4300,False,338637,,ok,93728,0,7551005500,2019-03-30 16:11:00,13.722803592682,,True,True,False,1,dresden,end,0,Bhf. Mitte - Weißeritzstraße,15,51.055706379924,,"{""15"": 1}"
True,frame_lock,False,0,,0,4300,False,338637,,ok,93728,0,7551005500,2019-03-30 16:32:00,13.722803592682,,True,True,False,1,dresden,start,0,Bhf. Mitte - Weißeritzstraße,15,51.055706379924,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13864020,,ok,93728,0,7551005500,2019-03-30 16:45:00,13.710311111111,,True,True,True,1,dresden,end,0,BIKE 93728,15,51.044857777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13864020,,ok,93728,0,7551005500,2019-03-30 21:57:00,13.710245555556,,True,True,True,1,dresden,start,0,BIKE 93728,15,51.045044444444,,"{""15"": 1}"
True,frame_lock,False,0,free,0,4483,False,10299584,,ok,93728,0,7551005500,2019-03-30 22:05:00,13.69113,,True,True,False,1,dresden,end,0,Malterstraße (Haltestelle),15,51.04257,,"{""15"": 1}"
True,frame_lock,False,0,free,0,4483,False,10299584,,ok,93728,0,7551005500,2019-03-30 23:59:00,13.69113,,True,True,False,2,dresden,last,0,Malterstraße (Haltestelle),15,51.04257,,"{""15"": 2}"
True,frame_lock,False,0,,0,4422,False,316914,,ok,93040,0,7551003838,2019-03-30 00:00:00,13.732169866562,,True,True,False,3,dresden,first,0,Beherbergungsschiff (Pöppelmann),15,51.064283655155,,"{""undefined"": 2, ""15"": 1}"
True,frame_lock,False,0,,0,4422,False,316914,,ok,93040,0,7551003838,2019-03-30 12:17:00,13.732169866562,,True,True,False,5,dresden,start,0,Beherbergungsschiff (Pöppelmann),15,51.064283655155,,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4358,False,264560,,ok,93040,0,7551003838,2019-03-30 12:33:00,13.704553842545,,True,True,False,1,dresden,end,0,Haltepunkt Trachau,15,51.08875925821,,"{""15"": 1}"
True,frame_lock,False,0,,0,4358,False,264560,,ok,93040,0,7551003838,2019-03-30 23:59:00,13.704553842545,,True,True,False,4,dresden,last,0,Haltepunkt Trachau,15,51.08875925821,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,free,0,4504,False,10299848,,ok,93788,0,7551007191,2019-03-30 00:00:00,13.72983,,True,True,False,3,dresden,first,0,Alexander-Puschkin-Platz,15,51.07035,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,free,0,4504,False,10299848,,ok,93788,0,7551007191,2019-03-30 11:25:00,13.72983,,True,True,False,5,dresden,start,0,Alexander-Puschkin-Platz,15,51.07035,,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,,0,4307,False,94833,,ok,93788,0,7551007191,2019-03-30 11:46:00,13.694522380829,,True,True,False,1,dresden,end,0,Elbepark Dresden,15,51.085072905297,,"{""15"": 1}"
True,frame_lock,False,0,,0,4307,False,94833,,ok,93788,0,7551007191,2019-03-30 15:15:00,13.694522380829,,True,True,False,4,dresden,start,0,Elbepark Dresden,15,51.085072905297,,"{""undefined"": 1, ""15"": 3}"
False,frame_lock,False,0,,12,0,False,13860589,,ok,93788,0,7551007191,2019-03-30 15:39:00,13.733215555556,,True,True,True,1,dresden,end,0,BIKE 93788,15,51.05092,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13860589,,ok,93788,0,7551007191,2019-03-30 16:23:00,13.733215555556,,True,True,True,1,dresden,start,0,BIKE 93788,15,51.05092,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13863512,,ok,93788,0,7551007191,2019-03-30 16:35:00,13.734057777778,,True,True,True,1,dresden,end,0,BIKE 93788,15,51.051613333333,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13863512,,ok,93788,0,7551007191,2019-03-30 20:17:00,13.734486666667,,True,True,True,1,dresden,start,0,BIKE 93788,15,51.051408888889,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13873115,,ok,93788,0,7551007191,2019-03-30 20:35:00,13.735532222222,,True,True,True,1,dresden,end,0,BIKE 93788,15,51.037915555556,,"{""15"": 1}"
True,frame_lock,False,0,,0,4323,False,5254203,,ok,93788,0,7551007191,2019-03-30 22:32:00,13.734766244888,,True,True,False,3,dresden,start,0,HTW Dresden / Friedrich List Platz 1,15,51.037595829035,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4426,False,27113,,ok,93788,0,7551007191,2019-03-30 22:43:00,13.720845580101,,True,True,False,5,dresden,end,0,World-Trade-Center,15,51.049181327086,,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4426,False,27113,,ok,93788,0,7551007191,2019-03-30 23:51:00,13.720845580101,,True,True,False,5,dresden,last,0,World-Trade-Center,15,51.049181327086,,"{""undefined"": 2, ""15"": 3}"
False,frame_lock,False,0,,12,0,False,13829184,,ok,93241,0,7551005465,2019-03-30 00:00:00,13.782895555556,Fetscherstraße 74,True,True,True,1,dresden,first,0,BIKE 93241,15,51.058751111111,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13843903,,ok,93241,0,7551005465,2019-03-30 23:59:00,13.782903333333,Fetscherstraße 74,True,True,True,1,dresden,last,0,BIKE 93241,15,51.05868,,"{""15"": 1}"
