p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93462,True,51.061662222222,14168432,,False,frame_lock,0,93462,0,,True,False,0,dresden,"{""undefined"": 1}",,13.852308888889,False,1,ok,0,first,,7551004409,0,2019-04-08 16:25:00,12,True
BIKE 93462,True,51.061582222222,14168432,,False,frame_lock,0,93462,0,,True,False,0,dresden,"{""undefined"": 1}",,13.852401111111,False,1,ok,0,last,,7551004409,0,2019-04-08 23:59:00,12,True
Strehlener Platz/Ackermannstr. 1A,True,51.03265382547,264546,,False,frame_lock,4346,93539,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.748906850815,False,3,ok,0,first,,7551006822,0,2019-04-08 00:00:00,0,False
Strehlener Platz/Ackermannstr. 1A,True,51.03265382547,264546,,False,frame_lock,4346,93539,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 3}",,13.748906850815,False,4,ok,0,start,,7551006822,0,2019-04-08 06:31:00,0,False
Chemnitzer Straße,True,51.033662509278,264574,,False,frame_lock,4372,93539,0,,True,True,15,dresden,"{""15"": 3}",,13.71099114418,False,3,ok,0,end,,7551006822,0,2019-04-08 06:45:00,0,False
Chemnitzer Straße,True,51.033662509278,264574,,False,frame_lock,4372,93539,0,,True,True,15,dresden,"{""71"": 1, ""15"": 3}",,13.71099114418,False,4,ok,0,start,,7551006822,0,2019-04-08 07:24:00,0,False
Toeplerbau / Binderbau,True,51.02727,4405696,traffic_sign,False,frame_lock,4459,93539,0,,True,True,15,dresden,"{""15"": 2}",,13.72573,False,2,ok,0,end,,7551006822,0,2019-04-08 07:32:00,0,False
Toeplerbau / Binderbau,True,51.02727,4405696,traffic_sign,False,frame_lock,4459,93539,0,,True,True,15,dresden,"{""15"": 3}",,13.72573,False,3,ok,0,start,,7551006822,0,2019-04-08 08:54:00,0,False
BIKE 93539,True,51.033635555556,14221022,,False,frame_lock,0,93539,0,,True,False,15,dresden,"{""15"": 1}",,13.748815555556,False,1,ok,0,end,,7551006822,0,2019-04-08 09:06:00,12,True
Strehlener Platz/Ackermannstr. 1A,True,51.03265382547,264546,,False,frame_lock,4346,93539,0,,True,True,15,dresden,"{""15"": 1}",,13.748906850815,False,1,ok,0,last,,7551006822,0,2019-04-08 09:42:00,0,False
Alaunstraße,True,51.066946872474,264576,,False,frame_lock,4374,93054,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 3}",,13.751809000969,False,4,ok,0,first,,7551006192,0,2019-04-08 00:00:00,0,False
Alaunstraße,True,51.066946872474,264576,,False,frame_lock,4374,93054,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.751809000969,False,5,ok,0,start,,7551006192,0,2019-04-08 06:48:00,0,False
BIKE 93054,True,51.02828,14217167,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.738268888889,False,1,ok,0,end,,7551006192,0,2019-04-08 07:12:00,12,True
BIKE 93054,True,51.028368888889,14217167,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.738195555556,False,1,ok,0,start,,7551006192,0,2019-04-08 08:52:00,12,True
Andreas-Pfitzmann-Bau,True,51.025619416653,4405708,traffic_sign,False,frame_lock,4461,93054,0,,True,True,15,dresden,"{""15"": 1}",,13.723919391632,False,1,ok,0,end,,7551006192,0,2019-04-08 09:02:00,0,False
Andreas-Pfitzmann-Bau,True,51.025619416653,4405708,traffic_sign,False,frame_lock,4461,93054,0,,True,True,15,dresden,"{""15"": 1}",,13.723919391632,False,1,ok,0,start,,7551006192,0,2019-04-08 09:08:00,0,False
Stresemannplatz,True,51.042938671968,264598,,False,frame_lock,4391,93054,0,,True,True,15,dresden,"{""15"": 1}",,13.774216175079,False,1,ok,0,end,,7551006192,0,2019-04-08 09:31:00,0,False
Stresemannplatz,True,51.042938671968,264598,,False,frame_lock,4391,93054,0,,True,True,15,dresden,"{""15"": 1}",,13.774216175079,False,1,ok,0,start,,7551006192,0,2019-04-08 15:44:00,0,False
Stresemannplatz,True,51.042938671968,264598,,False,frame_lock,4391,93054,0,,True,True,15,dresden,"{""15"": 1}",,13.774216175079,False,1,ok,0,end,,7551006192,0,2019-04-08 15:51:00,0,False
Stresemannplatz,True,51.042938671968,264598,,False,frame_lock,4391,93054,0,,True,True,15,dresden,"{""15"": 1}",,13.774216175079,False,1,ok,0,start,,7551006192,0,2019-04-08 16:08:00,0,False
