p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_special_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,p_free_special_racks,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,,,True,True,0,dresden,"{""undefined"": 2, ""71"": 3}",,13.749507665634,False,5,ok,0,first,,,7551004409,0,2019-04-26 00:00:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,,,True,True,0,dresden,"{""undefined"": 2, ""71"": 2, ""15"": 1}",,13.749507665634,False,5,ok,0,start,,,7551004409,0,2019-04-26 02:54:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,,,True,True,0,dresden,"{""undefined"": 2, ""71"": 2, ""15"": 1}",,13.749507665634,False,5,ok,0,end,,,7551004409,0,2019-04-26 02:56:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,0,,True,True,0,dresden,"{""undefined"": 2, ""71"": 1, ""15"": 1}",,13.749507665634,False,4,ok,0,start,0,,7551004409,0,2019-04-26 11:17:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,0,,True,True,0,dresden,"{""undefined"": 2, ""71"": 1, ""15"": 1}",,13.749507665634,False,4,ok,0,end,0,,7551004409,0,2019-04-26 11:24:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,0,,True,True,0,dresden,"{""undefined"": 1, ""71"": 1}",,13.749507665634,False,2,ok,0,start,0,,7551004409,0,2019-04-26 18:38:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,0,,True,True,0,dresden,"{""undefined"": 1, ""71"": 1}",,13.749507665634,False,2,ok,0,end,0,,7551004409,0,2019-04-26 18:40:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,0,,True,True,0,dresden,"{""undefined"": 1, ""71"": 1}",,13.749507665634,False,2,ok,0,start,0,,7551004409,0,2019-04-26 20:03:00,0,False
BIKE 93462,True,51.075693333333,15028800,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.746885555556,False,1,ok,0,end,0,,7551004409,0,2019-04-26 20:06:00,12,True
BIKE 93462,True,51.075724444444,15028800,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.74702,False,1,ok,0,start,0,,7551004409,0,2019-04-26 21:22:00,12,True
BIKE 93462,True,51.082742222222,15031438,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.730118888889,False,1,ok,0,end,0,,7551004409,0,2019-04-26 21:33:00,12,True
BIKE 93462,True,51.082284444444,15031438,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.730145555556,False,1,ok,0,last,0,,7551004409,0,2019-04-26 23:59:00,12,True
