p_bike_types,p_rack_locks,p_spot,p_special_racks,b_state,b_bike_type,p_name,p_uid,trip,p_booked_bikes,p_terminal_type,p_bike_racks,p_place_type,p_bike,p_lng,b_active,b_number,p_address,p_free_racks,b_lock_types,b_boardcomputer,b_electric_lock,city,datetime,p_maintenance,p_bikes,p_free_special_racks,p_lat,b_battery_pack,b_pedelec_battery,p_number
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15188786,first,0,,0,12,True,13.778458888889,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-01 00:00:00,False,1,0,51.049022222222,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15223707,start,0,,0,12,True,13.780248888889,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-01 19:45:00,False,1,0,51.046373333333,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15223707,end,0,,0,12,True,13.780248888889,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-01 19:48:00,False,1,0,51.046373333333,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15223707,last,0,,0,12,True,13.780102222222,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-01 23:59:00,False,1,0,51.046288888889,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15185444,first,0,,0,12,True,13.739961111111,True,93427,,0,frame_lock,7551003244,True,dresden,2019-05-01 00:00:00,False,1,0,51.068502222222,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15185444,start,0,,0,12,True,13.739961111111,True,93427,,0,frame_lock,7551003244,True,dresden,2019-05-01 00:18:00,False,1,0,51.068502222222,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15189376,end,0,,0,12,True,13.740042222222,True,93427,,0,frame_lock,7551003244,True,dresden,2019-05-01 00:21:00,False,1,0,51.068524444444,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15189376,start,0,,0,12,True,13.740132222222,True,93427,Lößnitzstraße 21,0,frame_lock,7551003244,True,dresden,2019-05-01 08:00:00,False,1,0,51.068231111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15197212,end,0,,0,12,True,13.751525555556,True,93427,Böhmische Straße 10,0,frame_lock,7551003244,True,dresden,2019-05-01 08:07:00,False,1,0,51.065257777778,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15197212,start,0,,0,12,True,13.751262222222,True,93427,Böhmische Straße 8,0,frame_lock,7551003244,True,dresden,2019-05-01 11:13:00,False,1,0,51.065191111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15203829,end,0,,0,12,True,13.759808888889,True,93427,Schönfelder Straße 21,0,frame_lock,7551003244,True,dresden,2019-05-01 11:31:00,False,1,0,51.066333333333,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15204351,start,0,,0,12,True,13.759954444444,True,93427,Schönfelder Straße 18,0,frame_lock,7551003244,True,dresden,2019-05-01 18:57:00,False,1,0,51.066213333333,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15227420,end,0,,0,12,True,13.759843333333,True,93427,,0,frame_lock,7551003244,True,dresden,2019-05-01 19:26:00,False,1,0,51.066155555556,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15227420,start,0,,0,12,True,13.759797777778,True,93427,,0,frame_lock,7551003244,True,dresden,2019-05-01 19:45:00,False,1,0,51.066262222222,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93427,15227420,end,0,,0,12,True,13.759797777778,True,93427,,0,frame_lock,7551003244,True,dresden,2019-05-01 19:48:00,False,1,0,51.066262222222,,,0
