p_uid,datetime,b_lock_types,p_place_type,city,p_name,b_active,p_terminal_type,b_battery_pack,trip,b_electric_lock,p_booked_bikes,b_state,p_rack_locks,p_lat,p_address,p_spot,p_bike,p_lng,p_free_racks,b_number,p_free_special_racks,b_bike_type,p_special_racks,p_bike_types,b_pedelec_battery,p_bikes,p_maintenance,b_boardcomputer,p_bike_racks,p_number
4405733,2019-07-21 12:14:00,"analog_code_lock,frame_lock",0,dresden,Münchner Platz / George-Bähr-Str.,True,traffic_sign,,first,False,0,ok,False,51.02962,,True,False,13.72327,0,93517,0,0,0,"{""71"": 1, ""undefined"": 1}",,2,False,0,0,4462
4405733,2019-07-21 23:59:00,"analog_code_lock,frame_lock",0,dresden,Münchner Platz / George-Bähr-Str.,True,traffic_sign,,last,False,0,ok,False,51.02962,,True,False,13.72327,0,93517,0,0,0,"{""undefined"": 1}",,1,False,0,0,4462
19355188,2019-07-21 11:51:00,frame_lock,12,dresden,BIKE 93579,True,,,first,True,0,ok,False,51.040915555556,,False,True,13.687538888889,0,93579,0,71,0,"{""71"": 1}",,1,False,7551004036,0,0
19355188,2019-07-21 16:59:00,frame_lock,12,dresden,BIKE 93579,True,,,start,True,0,ok,False,51.040964444444,,False,True,13.68813,0,93579,0,71,0,"{""71"": 1}",,1,False,7551004036,0,0
19369922,2019-07-21 17:18:00,frame_lock,12,dresden,BIKE 93579,True,,,end,True,0,ok,False,51.04816,,False,True,13.735903333333,0,93579,0,71,0,"{""71"": 1}",,1,False,7551004036,0,0
19369922,2019-07-21 21:11:00,frame_lock,12,dresden,BIKE 93579,True,,,start,True,0,ok,False,51.04816,,False,True,13.735807777778,0,93579,0,71,0,"{""71"": 1}",,1,False,7551004036,0,0
19380358,2019-07-21 21:25:00,frame_lock,12,dresden,BIKE 93579,True,,,end,True,0,ok,False,51.030924444444,,False,True,13.703027777778,0,93579,0,71,0,"{""71"": 1}",,1,False,7551004036,0,0
310789,2019-07-21 23:59:00,frame_lock,0,dresden,Haltepunkt Plauen,True,,,last,True,0,ok,False,51.030086474318246,,True,False,13.703261017799377,0,93579,0,71,0,"{""71"": 5}",,5,False,7551004036,0,4435
19340324,2019-07-21 00:00:00,frame_lock,12,dresden,BIKE 93305,True,,,first,True,0,ok,False,51.024773333333,,False,True,13.838417777778,0,93305,0,71,0,"{""71"": 1}",,1,False,7551005248,0,0
264566,2019-07-21 05:38:00,frame_lock,0,dresden,DVB Endpunkt Laubegast,True,stele,,start,True,0,ok,False,51.02277835995663,,True,False,13.838900327682495,0,93305,0,71,0,"{""71"": 5}",,5,False,7551005248,6,4365
264566,2019-07-21 05:40:00,frame_lock,0,dresden,DVB Endpunkt Laubegast,True,stele,,end,True,0,ok,False,51.02277835995663,,True,False,13.838900327682495,0,93305,0,71,0,"{""71"": 5}",,5,False,7551005248,6,4365
19381079,2019-07-21 23:59:00,frame_lock,12,dresden,BIKE 93305,True,,,last,True,0,ok,False,51.024448888889,,False,True,13.838413333333,0,93305,0,71,0,"{""71"": 1}",,1,False,7551005248,0,0
637850,2019-07-21 00:00:00,frame_lock,0,dresden,Archivstr. / Wigardstr.,True,free,,first,True,0,ok,False,51.05784410425207,,True,False,13.749545216560364,0,93666,0,71,0,"{""71"": 4}",,4,False,7551003763,0,4442
637850,2019-07-21 05:38:00,frame_lock,0,dresden,Archivstr. / Wigardstr.,True,free,,start,True,0,ok,False,51.05784410425207,,True,False,13.749545216560364,0,93666,0,71,0,"{""71"": 4}",,4,False,7551003763,0,4442
637850,2019-07-21 05:40:00,frame_lock,0,dresden,Archivstr. / Wigardstr.,True,free,,end,True,0,ok,False,51.05784410425207,,True,False,13.749545216560364,0,93666,0,71,0,"{""71"": 4}",,4,False,7551003763,0,4442
637850,2019-07-21 23:59:00,frame_lock,0,dresden,Archivstr. / Wigardstr.,True,free,,last,True,0,ok,False,51.05784410425207,,True,False,13.749545216560364,0,93666,0,71,0,"{""71"": 3}",,3,False,7551003763,0,4442
19319093,2019-07-21 00:00:00,frame_lock,12,dresden,BIKE 93717,True,,,first,True,0,ok,False,51.096795555556,,False,True,13.780346666667,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
19319093,2019-07-21 05:38:00,frame_lock,12,dresden,BIKE 93717,True,,,start,True,0,ok,False,51.097364444444,,False,True,13.780404444444,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
19319093,2019-07-21 05:40:00,frame_lock,12,dresden,BIKE 93717,True,,,end,True,0,ok,False,51.097364444444,,False,True,13.780404444444,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
19347528,2019-07-21 11:33:00,frame_lock,12,dresden,BIKE 93717,True,,,start,True,0,ok,False,51.096924444444,,False,True,13.781061111111,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
14262,2019-07-21 12:41:00,frame_lock,0,dresden,Königsbrücker Platz,True,,,end,True,0,ok,False,51.0749827918118,,True,False,13.7495076656342,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,4308
14262,2019-07-21 12:42:00,frame_lock,0,dresden,Königsbrücker Platz,True,,,start,True,0,ok,False,51.0749827918118,,True,False,13.7495076656342,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,4308
14262,2019-07-21 13:11:00,frame_lock,0,dresden,Königsbrücker Platz,True,,,end,True,0,ok,False,51.0749827918118,,True,False,13.7495076656342,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,4308
14262,2019-07-21 14:08:00,frame_lock,0,dresden,Königsbrücker Platz,True,,,start,True,0,ok,False,51.0749827918118,,True,False,13.7495076656342,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,4308
19361099,2019-07-21 14:14:00,frame_lock,12,dresden,BIKE 93717,True,,,end,True,0,ok,False,51.072151111111,,False,True,13.754374444444,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
14262,2019-07-21 15:18:00,frame_lock,0,dresden,Königsbrücker Platz,True,,,start,True,0,ok,False,51.0749827918118,,True,False,13.7495076656342,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,4308
19364533,2019-07-21 15:32:00,frame_lock,12,dresden,BIKE 93717,True,,,end,True,0,ok,False,51.067497777778,,False,True,13.754726666667,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
19364533,2019-07-21 16:10:00,frame_lock,12,dresden,BIKE 93717,True,,,start,True,0,ok,False,51.067613333333,,False,True,13.754773333333,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
27113,2019-07-21 16:41:00,frame_lock,0,dresden,World-Trade-Center,True,,,end,True,0,ok,False,51.04918132708615,,True,False,13.720845580101013,0,93717,0,71,0,"{""71"": 5}",,5,False,7551003598,0,4426
27113,2019-07-21 19:50:00,frame_lock,0,dresden,World-Trade-Center,True,,,start,True,0,ok,False,51.04918132708615,,True,False,13.720845580101013,0,93717,0,71,0,"{""71"": 3}",,3,False,7551003598,0,4426
19377839,2019-07-21 20:03:00,frame_lock,12,dresden,BIKE 93717,True,,,end,True,0,ok,False,51.044017777778,,False,True,13.704182222222,0,93717,0,71,0,"{""71"": 1}",,1,False,7551003598,0,0
310790,2019-07-21 23:59:00,frame_lock,0,dresden,Kesselsdorfer Str. / Reisewitzer Str.,True,,,last,True,0,ok,False,51.0440355,,True,False,13.7008419,0,93717,0,71,0,"{""71"": 3}",,3,False,7551003598,0,4436
264574,2019-07-21 00:00:00,frame_lock,0,dresden,Chemnitzer Straße,True,,,first,True,0,ok,False,51.033662509278386,,True,False,13.710991144180296,0,93384,0,71,0,"{""71"": 4}",,4,False,7551003220,0,4372
264574,2019-07-21 00:33:00,frame_lock,0,dresden,Chemnitzer Straße,True,,,start,True,0,ok,False,51.033662509278386,,True,False,13.710991144180296,0,93384,0,71,0,"{""71"": 4}",,4,False,7551003220,0,4372
264574,2019-07-21 00:44:00,frame_lock,0,dresden,Chemnitzer Straße,True,,,end,True,0,ok,False,51.033662509278386,,True,False,13.710991144180296,0,93384,0,71,0,"{""71"": 3}",,3,False,7551003220,0,4372
264574,2019-07-21 05:38:00,frame_lock,0,dresden,Chemnitzer Straße,True,,,start,True,0,ok,False,51.033662509278386,,True,False,13.710991144180296,0,93384,0,71,0,"{""71"": 4}",,4,False,7551003220,0,4372
264574,2019-07-21 05:40:00,frame_lock,0,dresden,Chemnitzer Straße,True,,,end,True,0,ok,False,51.033662509278386,,True,False,13.710991144180296,0,93384,0,71,0,"{""71"": 4}",,4,False,7551003220,0,4372
264574,2019-07-21 16:21:00,frame_lock,0,dresden,Chemnitzer Straße,True,,,start,True,0,ok,False,51.033662509278386,,True,False,13.710991144180296,0,93384,0,71,0,"{""71"": 4}",,4,False,7551003220,0,4372
310792,2019-07-21 16:29:00,frame_lock,0,dresden,Bonhoeffer Platz,True,,,end,True,0,ok,False,51.038466106820756,,True,False,13.70167851448059,0,93384,0,71,0,"{""71"": 5}",,5,False,7551003220,0,4438
310792,2019-07-21 23:59:00,frame_lock,0,dresden,Bonhoeffer Platz,True,,,last,True,0,ok,False,51.038466106820756,,True,False,13.70167851448059,0,93384,0,71,0,"{""71"": 5}",,5,False,7551003220,0,4438
75238,2019-07-21 04:57:00,frame_lock,0,dresden,Hp. Dresden-Reick,True,,,first,True,0,ok,False,51.021027075562294,,True,False,13.790373802185059,0,93914,0,71,0,"{""71"": 5}",,5,False,7551012941,0,4309
75238,2019-07-21 05:38:00,frame_lock,0,dresden,Hp. Dresden-Reick,True,,,start,True,0,ok,False,51.021027075562294,,True,False,13.790373802185059,0,93914,0,71,0,"{""71"": 5}",,5,False,7551012941,0,4309
