p_rack_locks,city,p_bike_racks,p_name,p_spot,b_state,p_terminal_type,p_booked_bikes,trip,p_uid,b_lock_types,b_active,p_bikes,p_maintenance,p_lat,p_bike_types,p_address,p_lng,b_number,p_bike,b_battery_pack,p_free_racks,b_pedelec_battery,p_place_type,p_special_racks,datetime,p_number,b_boardcomputer,b_electric_lock,p_free_special_racks,b_bike_type
False,dresden,0,BIKE 93850,False,ok,,0,first,22461393,frame_lock,True,1,False,51.055951111111,"{""71"": 1}",,13.743027777778,93850,True,,0,,12,0,2019-09-24 00:00:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22461393,frame_lock,True,1,False,51.055986666667,"{""71"": 1}",,13.74297,93850,True,,0,,12,0,2019-09-24 01:17:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22461393,frame_lock,True,1,False,51.055986666667,"{""71"": 1}",,13.74297,93850,True,,0,,12,0,2019-09-24 01:20:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22461393,frame_lock,True,1,False,51.056031111111,"{""71"": 1}",,13.742993333333,93850,True,,0,,12,0,2019-09-24 10:56:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22506492,frame_lock,True,1,False,51.052182222222,"{""71"": 1}",,13.743298888889,93850,True,,0,,12,0,2019-09-24 11:57:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22506492,frame_lock,True,1,False,51.052288888889,"{""71"": 1}",,13.743203333333,93850,True,,0,,12,0,2019-09-24 22:21:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22506492,frame_lock,True,1,False,51.052288888889,"{""71"": 1}",,13.743203333333,93850,True,,0,,12,0,2019-09-24 22:28:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,last,22506492,frame_lock,True,1,False,51.052288888889,"{""71"": 1}",,13.743203333333,93850,True,,0,,12,0,2019-09-24 23:59:00,0,7551012778,True,0,71
False,dresden,0,Elbepark Dresden,True,ok,,0,first,94833,frame_lock,True,2,False,51.0850729052972,"{""71"": 2}",,13.6945223808289,93385,False,,0,,0,0,2019-09-24 00:00:00,4307,7551004176,True,0,71
False,dresden,0,Elbepark Dresden,True,ok,,0,start,94833,frame_lock,True,2,False,51.0850729052972,"{""71"": 2}",,13.6945223808289,93385,False,,0,,0,0,2019-09-24 01:17:00,4307,7551004176,True,0,71
False,dresden,0,Elbepark Dresden,True,ok,,0,end,94833,frame_lock,True,2,False,51.0850729052972,"{""71"": 2}",,13.6945223808289,93385,False,,0,,0,0,2019-09-24 01:20:00,4307,7551004176,True,0,71
False,dresden,0,Elbepark Dresden,True,ok,,0,start,94833,frame_lock,True,2,False,51.0850729052972,"{""71"": 2}",,13.6945223808289,93385,False,,0,,0,0,2019-09-24 22:21:00,4307,7551004176,True,0,71
False,dresden,0,Elbepark Dresden,True,ok,,0,end,94833,frame_lock,True,2,False,51.0850729052972,"{""71"": 2}",,13.6945223808289,93385,False,,0,,0,0,2019-09-24 22:28:00,4307,7551004176,True,0,71
False,dresden,0,Elbepark Dresden,True,ok,,0,last,94833,frame_lock,True,1,False,51.0850729052972,"{""71"": 1}",,13.6945223808289,93385,False,,0,,0,0,2019-09-24 23:59:00,4307,7551004176,True,0,71
False,dresden,0,BIKE 93783,False,ok,,0,first,22484986,frame_lock,True,1,False,51.024106666667,"{""71"": 1}",,13.83832,93783,True,,0,,12,0,2019-09-24 00:00:00,0,7551006397,True,0,71
