b_number,b_boardcomputer,p_booked_bikes,b_pedelec_battery,p_special_racks,p_bike_racks,p_uid,p_place_type,trip,b_battery_pack,p_bike_types,b_lock_types,p_name,p_bikes,p_bike,p_maintenance,b_state,p_address,p_lng,p_free_racks,b_bike_type,p_rack_locks,p_spot,b_active,datetime,p_number,p_terminal_type,p_free_special_racks,p_lat,city,b_electric_lock
93381,7551005642,0,,0,0,40,0,first,,"{""71"": 1}",frame_lock,NH-Hotel / Hansa Str. 43,1,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-15 00:00:00,4306,,0,51.0741334233362,dresden,True
93381,7551005642,0,,0,0,40,0,last,,"{""71"": 1}",frame_lock,NH-Hotel / Hansa Str. 43,1,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-15 23:59:00,4306,,0,51.0741334233362,dresden,True
93018,7551005457,0,,0,0,73,0,first,,"{""71"": 3}",frame_lock,Bf. Dresden-Neustadt,3,False,False,ok,,13.7412196397781,0,71,False,True,True,2019-11-15 00:00:00,4332,free,0,51.0651837723282,dresden,True
93018,7551005457,0,,0,0,73,0,start,,"{""71"": 3}",frame_lock,Bf. Dresden-Neustadt,3,False,False,ok,,13.7412196397781,0,71,False,True,True,2019-11-15 00:18:00,4332,free,0,51.0651837723282,dresden,True
93018,7551005457,0,,0,0,24862137,12,end,,"{""71"": 1}",frame_lock,BIKE 93018,1,True,False,ok,,13.722341111111,0,71,False,False,True,2019-11-15 00:28:00,0,,0,51.056728888889,dresden,True
93018,7551005457,0,,0,0,338637,0,start,,"{""71"": 6}",frame_lock,Bhf. Mitte - Weißeritzstraße,6,False,False,ok,,13.722803592681885,0,71,False,True,True,2019-11-15 09:31:00,4300,,0,51.05570637992387,dresden,True
93018,7551005457,0,,0,6,265880,0,end,,"{""71"": 3}",frame_lock,Sächsische Zeitung / Haus der Presse,3,False,False,ok,,13.728811740875244,3,71,False,True,True,2019-11-15 09:36:00,4303,,0,51.057284394170544,dresden,True
93018,7551005457,0,,0,6,265880,0,start,,"{""71"": 3}",frame_lock,Sächsische Zeitung / Haus der Presse,3,False,False,ok,,13.728811740875244,3,71,False,True,True,2019-11-15 12:46:00,4303,,0,51.057284394170544,dresden,True
93018,7551005457,0,,0,0,338637,0,end,,"{""71"": 3}",frame_lock,Bhf. Mitte - Weißeritzstraße,3,False,False,ok,,13.722803592681885,0,71,False,True,True,2019-11-15 12:52:00,4300,,0,51.05570637992387,dresden,True
93018,7551005457,0,,0,0,338637,0,start,,"{""71"": 1}",frame_lock,Bhf. Mitte - Weißeritzstraße,1,False,False,ok,,13.722803592681885,0,71,False,True,True,2019-11-15 17:31:00,4300,,0,51.05570637992387,dresden,True
