p_bike_types,p_spot,p_bike_racks,p_lng,p_maintenance,p_booked_bikes,b_boardcomputer,b_active,trip,p_free_special_racks,city,b_number,p_bike,b_lock_types,p_free_racks,b_pedelec_battery,p_rack_locks,p_bikes,b_battery_pack,b_electric_lock,p_special_racks,p_place_type,p_terminal_type,p_name,p_number,p_lat,datetime,b_state,b_bike_type,p_uid,p_address
"{""71"": 1}",True,0,13.7388753890991,False,0,7551005642,True,first,0,dresden,93381,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-16 00:00:00,ok,71,40,
"{""71"": 1}",True,0,13.7388753890991,False,0,7551005642,True,start,0,dresden,93381,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-16 21:06:00,ok,71,40,
"{""71"": 1}",False,0,13.805868888889,False,0,7551005642,True,end,0,dresden,93381,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93381,0,51.05104,2019-11-16 21:35:00,ok,71,24938549,
"{""71"": 1}",True,6,13.804289102554321,False,0,7551005642,True,last,0,dresden,93381,False,frame_lock,5,,False,1,,True,0,0,,Schillergalerie,4399,51.05136993564705,2019-11-16 23:59:00,ok,71,329097,
"{""15"": 1, ""71"": 9}",True,0,13.7412196397781,False,0,7551003692,True,first,0,dresden,93262,False,frame_lock,0,,False,10,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-16 00:00:00,ok,71,73,
"{""71"": 5}",True,0,13.7412196397781,False,0,7551003692,True,last,0,dresden,93262,False,frame_lock,0,,False,5,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-16 23:59:00,ok,71,73,
"{""15"": 1, ""71"": 9}",True,0,13.7412196397781,False,0,7551004009,True,first,0,dresden,93432,False,frame_lock,0,,False,10,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-16 00:00:00,ok,71,73,
"{""71"": 10}",True,0,13.7412196397781,False,0,7551004009,True,start,0,dresden,93432,False,frame_lock,0,,False,10,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-16 05:43:00,ok,71,73,
"{""71"": 1}",False,0,13.742142222222,False,0,7551004009,True,end,0,dresden,93432,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93432,0,51.06456,2019-11-16 05:48:00,ok,71,24911527,
"{""71"": 10}",True,0,13.7412196397781,False,0,7551004009,True,start,0,dresden,93432,False,frame_lock,0,,False,10,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-16 20:21:00,ok,71,73,
"{""71"": 1}",True,0,13.741257190704346,False,0,7551004009,True,end,0,dresden,93432,False,frame_lock,0,,False,1,,True,0,0,,Friedensstraße/Conradstr.,4373,51.07174027751911,2019-11-16 20:27:00,ok,71,264575,
"{""71"": 5}",True,0,13.741257190704346,False,0,7551004009,True,last,0,dresden,93432,False,frame_lock,0,,False,5,,True,0,0,,Friedensstraße/Conradstr.,4373,51.07174027751911,2019-11-16 23:59:00,ok,71,264575,
"{""15"": 1, ""71"": 9}",True,0,13.7412196397781,False,0,7551006809,True,first,0,dresden,93400,False,frame_lock,0,,False,10,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-16 00:00:00,ok,71,73,
"{""71"": 9}",True,0,13.7412196397781,False,0,7551006809,True,start,0,dresden,93400,False,frame_lock,0,,False,9,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-16 21:34:00,ok,71,73,
