p_spot,p_free_racks,b_battery_pack,b_active,b_pedelec_battery,p_address,p_bike_racks,p_lat,b_lock_types,p_free_special_racks,p_name,b_state,p_number,p_bikes,p_uid,p_place_type,datetime,p_bike,trip,p_terminal_type,b_bike_type,p_booked_bikes,b_electric_lock,p_lng,p_rack_locks,b_number,p_bike_types,p_maintenance,p_special_racks,b_boardcomputer,city
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,1,40,0,2020-01-11 00:00:00,False,first,,71,0,True,13.7388753890991,False,93147,"{""71"": 1}",False,0,7551003506,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,1,40,0,2020-01-11 02:46:00,False,start,,71,0,True,13.7388753890991,False,93147,"{""71"": 1}",False,0,7551003506,dresden
False,0,,True,,,0,51.049275555556,frame_lock,0,BIKE 93147,ok,0,1,26818932,12,2020-01-11 03:02:00,True,end,,71,0,True,13.720005555556,False,93147,"{""71"": 1}",False,0,7551003506,dresden
True,0,,True,,,0,51.04918132708615,frame_lock,0,World-Trade-Center,ok,4426,2,27113,0,2020-01-11 20:37:00,False,start,,71,0,True,13.720845580101013,False,93147,"{""71"": 2}",False,0,7551003506,dresden
False,0,,True,,,0,51.05068,frame_lock,0,BIKE 93147,ok,0,1,26842246,12,2020-01-11 20:41:00,True,end,,71,0,True,13.724478888889,False,93147,"{""71"": 1}",False,0,7551003506,dresden
False,0,,True,,,0,51.051195555556,frame_lock,0,BIKE 93147,ok,0,1,26842246,12,2020-01-11 23:59:00,True,last,,71,0,True,13.725095555556,False,93147,"{""71"": 1}",False,0,7551003506,dresden
True,0,,True,,,0,51.0651837723282,frame_lock,0,Bf. Dresden-Neustadt,ok,4332,5,73,0,2020-01-11 00:00:00,False,first,free,71,0,True,13.7412196397781,False,93039,"{""71"": 5}",False,0,7551006203,dresden
True,0,,True,,,0,51.0651837723282,frame_lock,0,Bf. Dresden-Neustadt,ok,4332,5,73,0,2020-01-11 00:08:00,False,start,free,71,0,True,13.7412196397781,False,93039,"{""71"": 5}",False,0,7551006203,dresden
False,0,,True,,,0,51.066155555556,frame_lock,0,BIKE 93039,ok,0,1,26816057,12,2020-01-11 00:14:00,True,end,,71,0,True,13.755395555556,False,93039,"{""71"": 1}",False,0,7551006203,dresden
False,0,,True,,,0,51.066195555556,frame_lock,0,BIKE 93039,ok,0,1,26816057,12,2020-01-11 11:08:00,True,start,,71,0,True,13.755737777778,False,93039,"{""71"": 1}",False,0,7551006203,dresden
True,0,,True,,,0,51.06798,frame_lock,0,Louisenstraße,ok,4484,1,10299599,0,2020-01-11 11:26:00,False,end,free,71,0,True,13.74754,False,93039,"{""71"": 1}",False,0,7551006203,dresden
True,0,,True,,,0,51.06798,frame_lock,0,Louisenstraße,ok,4484,1,10299599,0,2020-01-11 12:00:00,False,start,free,71,0,True,13.74754,False,93039,"{""71"": 1}",False,0,7551006203,dresden
True,0,,True,,,0,51.0651837723282,frame_lock,0,Bf. Dresden-Neustadt,ok,4332,6,73,0,2020-01-11 12:04:00,False,end,free,71,0,True,13.7412196397781,False,93039,"{""71"": 6}",False,0,7551006203,dresden
