STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
       1048;2018110800;   10;   3.5; 180;eor
       1048;2018110801;   10;   3.5; 180;eor
       1048;2018110802;   10;   3.4; 170;eor
       1048;2018110803;   10;   3.8; 180;eor
       1048;2018110804;   10;   3.7; 180;eor
       1048;2018110805;   10;   3.0; 180;eor
       1048;2018110806;   10;   2.9; 180;eor
       1048;2018110807;   10;   3.6; 170;eor
       1048;2018110808;   10;   2.9; 180;eor
       1048;2018110809;   10;   2.2; 190;eor
       1048;2018110810;   10;   2.3; 220;eor
       1048;2018110811;   10;   2.9; 270;eor
       1048;2018110812;   10;   4.1; 290;eor
       1048;2018110813;   10;   4.0; 290;eor
       1048;2018110814;   10;   3.1; 320;eor
       1048;2018110815;   10;   1.9; 320;eor
       1048;2018110816;   10;   1.8; 290;eor
       1048;2018110817;   10;   0.7; 300;eor
       1048;2018110818;   10;   0.7;  70;eor
       1048;2018110819;   10;   0.8;  20;eor
       1048;2018110820;   10;   0.4; 360;eor
       1048;2018110821;   10;   0.9; 170;eor
       1048;2018110822;   10;   0.6; 110;eor
       1048;2018110823;   10;   1.3;  90;eor
       1048;2018110900;   10;   1.1; 160;eor
       1048;2018110901;   10;   0.7; 140;eor
       1048;2018110902;   10;   1.5; 130;eor
       1048;2018110903;   10;   3.1; 100;eor
       1048;2018110904;   10;   2.8; 120;eor
       1048;2018110905;   10;   2.2; 110;eor
       1048;2018110906;   10;   2.7; 130;eor
       1048;2018110907;   10;   3.0; 130;eor
       1048;2018110908;   10;   3.1; 120;eor
       1048;2018110909;   10;   3.1; 120;eor
       1048;2018110910;   10;   4.0; 170;eor
       1048;2018110911;   10;   4.5; 160;eor
       1048;2018110912;   10;   4.5; 160;eor
       1048;2018110913;   10;   4.2; 150;eor
       1048;2018110914;   10;   4.4; 150;eor
       1048;2018110915;   10;   4.3; 140;eor
       1048;2018110916;   10;   3.5; 150;eor
       1048;2018110917;   10;   2.8; 150;eor
       1048;2018110918;   10;   2.1; 140;eor
       1048;2018110919;   10;   3.1; 150;eor
       1048;2018110920;   10;   4.1; 160;eor
       1048;2018110921;   10;   4.2; 160;eor
       1048;2018110922;   10;   4.0; 150;eor
       1048;2018110923;   10;   4.4; 150;eor
       1048;2018111000;   10;   5.3; 150;eor
