,h3_hex_small_id,geometry
0,881f1b56b3fffff,"POLYGON ((13.72970075122039 51.11560734954741, 13.72750772899222 51.11128281042306, 13.73269516286153 51.10822687860416, 13.74007578515884 51.10949531054669, 13.74226962608727 51.1138198131322, 13.73708202608707 51.11687592033542, 13.72970075122039 51.11560734954741))"
1,881f1b4653fffff,"POLYGON ((13.76918606869134 51.04735547093517, 13.76699244775658 51.04302734597444, 13.77217376856925 51.0399658264416, 13.77954887475394 51.04123225662042, 13.78174331221197 51.04556034495893, 13.77656182703096 51.04862203976219, 13.76918606869134 51.04735547093517))"
2,881f1b541dfffff,"POLYGON ((13.65372559494022 51.09857044968147, 13.65153840025701 51.09424404798938, 13.6567265448128 51.09119096779857, 13.66410205293783 51.09246411426317, 13.66629006702186 51.09679048032683, 13.66110175364857 51.09984373557576, 13.65372559494022 51.09857044968147))"
3,881f1b558bfffff,"POLYGON ((13.66216391860935 51.04867751833581, 13.65997770198317 51.04434826524344, 13.66516191410938 51.04129210969731, 13.67253251119934 51.04256503235928, 13.67471954593202 51.04689424998435, 13.66953516553662 51.04995058043618, 13.66216391860935 51.04867751833581))"
4,881f1b092bfffff,"POLYGON ((13.80088793983331 51.05674622187964, 13.79869181949024 51.05241901176785, 13.80387300474925 51.04935642546163, 13.81125047367801 51.05062087387574, 13.81344741030127 51.05494804697444, 13.80826606178469 51.05801080869345, 13.80088793983331 51.05674622187964))"
5,881f1b19e3fffff,"POLYGON ((13.743460759546 51.16926642123599, 13.741265086051 51.16494521593971, 13.74645616287233 51.16189146637931, 13.75384307914245 51.16315874650649, 13.75603957240115 51.16747991484245, 13.75084832969519 51.17053384003297, 13.743460759546 51.16926642123599))"
6,881f1b46d3fffff,"POLYGON ((13.85708441611985 51.0347587391572, 13.85488508425935 51.03043087322069, 13.86006315353902 51.02736434198828, 13.8674407158557 51.02862550119051, 13.86964086265824 51.03295332961551, 13.86446263227134 51.03602003637105, 13.85708441611985 51.0347587391572))"
7,881f1b441bfffff,"POLYGON ((13.80561781709077 50.98641135704752, 13.8034235800835 50.98208005268636, 13.80859942292316 50.97901349285928, 13.81596966559606 50.98027806224025, 13.81816471717115 50.98460932988954, 13.81298871157444 50.98767606489104, 13.80561781709077 50.98641135704752))"
8,881f1b469bfffff,"POLYGON ((13.87261831867426 51.02555825420217, 13.87041819828088 51.02123002353921, 13.87559517365099 51.01816223638775, 13.88297242998255 51.01942250437852, 13.88517336487478 51.02375069740781, 13.87999622900596 51.02681866010128, 13.87261831867426 51.02555825420217))"
9,881f1b5485fffff,"POLYGON ((13.70997394813531 51.07667639826373, 13.70778352438974 51.07234933497243, 13.71296857465355 51.06929230436189, 13.72034421539552 51.07056216189051, 13.72253545721307 51.07488918905395, 13.71735024028538 51.07794639483803, 13.70997394813531 51.07667639826373))"
10,881f1b0927fffff,"POLYGON ((13.79430044549215 51.0437637499834, 13.79210519173604 51.03943569839426, 13.79728558598622 51.03637274669753, 13.80466139749834 51.03763767126813, 13.80685746732709 51.04196568598083, 13.80167690964013 51.04502881302069, 13.79430044549215 51.0437637499834))"
11,881f1b56d9fffff,"POLYGON ((13.71172158230031 51.15987033855185, 13.70952841682258 51.15554821687147, 13.71471962308193 51.15249553584887, 13.72210416188679 51.15376480104243, 13.7242981473692 51.15808688615394, 13.71910677411105 51.16113974266218, 13.71172158230031 51.15987033855185))"
12,881f1b55b3fffff,"POLYGON ((13.68370789090021 51.02473315113207, 13.68152092542476 51.02040272753851, 13.68670279876146 51.01734423162515, 13.6940718050128 51.01861598443281, 13.69625958772235 51.02294637244582, 13.69107754701485 51.0260050432531, 13.68370789090021 51.02473315113207))"
13,881f1b094dfffff,"POLYGON ((13.77637694704919 51.08808996190518, 13.77418154360855 51.08376432477727, 13.77936570422542 51.08070461862106, 13.78674543265033 51.08197037417048, 13.7889416534641 51.08629597439297, 13.78375732854894 51.08935585599281, 13.77637694704919 51.08808996190518))"
14,881f1b540bfffff,"POLYGON ((13.64116102480631 51.10034894942764, 13.63897464974708 51.09602251223453, 13.6441632527964 51.09297014901502, 13.65153840025701 51.09424404798938, 13.65372559494022 51.09857044968147, 13.64853682260731 51.10162298792169, 13.64116102480631 51.10034894942764))"
15,881f1b5411fffff,"POLYGON ((13.66629006702186 51.09679048032683, 13.66410205293783 51.09246411426317, 13.6692897385082 51.08941031714875, 13.67666560658251 51.09068271102397, 13.67885443984394 51.09500904133188, 13.67366658592222 51.09806301354174, 13.66629006702186 51.09679048032683))"
16,881f1b548bfffff,"POLYGON ((13.72911091439372 51.08786858832485, 13.72691880666156 51.08354240231276, 13.73210418993136 51.08048502130163, 13.73948184702227 51.08175365104345, 13.74167477281128 51.08607980066351, 13.73648922352135 51.08913735695516, 13.72911091439372 51.08786858832485))"
17,881f1b0911fffff,"POLYGON ((13.84218170471794 51.0717165833118, 13.83998224258671 51.06739072940357, 13.84516345079283 51.06432690046237, 13.85254428302125 51.06558874984326, 13.85474456117775 51.06991456621599, 13.84956319114995 51.07297857076463, 13.84218170471794 51.0717165833118))"
18,881f1b445dfffff,"POLYGON ((13.76499040663875 50.99920351796322, 13.76279859011404 50.99487250601595, 13.76797644754795 50.99180863312979, 13.77534628586974 50.99307559713027, 13.77753891785295 50.99740657274256, 13.77236089612462 51.00047062071064, 13.76499040663875 50.99920351796322))"
19,881f1b55d1fffff,"POLYGON ((13.66872429647202 51.06166359822932, 13.66653721580322 51.05733518487054, 13.67172222326093 51.05427939595678, 13.67909447954908 51.05555184544752, 13.68128237853447 51.05988022320209, 13.67609720298355 51.06293618709154, 13.66872429647202 51.06166359822932))"
20,881f1b46bbfffff,"POLYGON ((13.85644431845824 51.00698214967326, 13.85424590594826 51.00265263778436, 13.85942193230786 50.99958466143279, 13.8667965322491 51.00084602157099, 13.8689957590623 51.00517549609422, 13.86381957170024 51.00824364786617, 13.85644431845824 51.00698214967326))"
21,881f1b0945fffff,"POLYGON ((13.77936570422542 51.08070461862106, 13.77717032561574 51.07637857893996, 13.78235385820564 51.07331833168747, 13.78973293362882 51.07458394871061, 13.79192912939475 51.07890995149117, 13.78674543265033 51.08197037417048, 13.77936570422542 51.08070461862106))"
22,881f1b54d1fffff,"POLYGON ((13.73568897022938 51.10084546339206, 13.73349599612699 51.09652011890612, 13.73868217349046 51.09346310403664, 13.74606149086737 51.09473125832378, 13.74825528323573 51.09905656628079, 13.74306894003009 51.10211375650098, 13.73568897022938 51.10084546339206))"
23,881f1b0993fffff,"POLYGON ((13.94268120273923 51.05725928306346, 13.9404752187709 51.05293373299112, 13.94565268250585 51.04986417597096, 13.9530362883664 51.05111999315311, 13.95524308653865 51.05544550467548, 13.95006546471624 51.0585152375869, 13.94268120273923 51.05725928306346))"
24,881f1b0b25fffff,"POLYGON ((13.76082148906531 51.09726619896443, 13.75862687865599 51.09294092766354, 13.76381213077721 51.0898824793307, 13.77119215828559 51.09114912689615, 13.77338758651057 51.09547436141383, 13.76820216948047 51.09853298517064, 13.76082148906531 51.09726619896443))"
