,MESS_DATUM,air_deg,air_hum,rain_mm,rain_yn,sun_hour,wind_ms
0,2018-11-08 00:00:00,8.0,95.7,0.0,0.0,0.0,3.5
1,2018-11-08 01:00:00,7.5,97.3,0.0,0.0,0.0,3.5
2,2018-11-08 02:00:00,6.6,98.3,0.0,0.0,0.0,3.4
3,2018-11-08 03:00:00,6.5,98.0,0.0,0.0,0.0,3.8
4,2018-11-08 04:00:00,5.9,97.7,0.0,0.0,0.0,3.7
5,2018-11-08 05:00:00,5.7,98.7,0.0,0.0,0.0,3.0
6,2018-11-08 06:00:00,6.4,96.3,0.0,0.0,0.0,2.9
7,2018-11-08 07:00:00,6.8,96.3,0.0,0.0,0.0,3.6
8,2018-11-08 08:00:00,8.3,93.7,0.0,0.0,0.0,2.9
9,2018-11-08 09:00:00,10.0,88.0,0.0,0.0,0.0,2.2
10,2018-11-08 10:00:00,11.9,79.7,0.0,0.0,16.0,2.3
11,2018-11-08 11:00:00,13.5,71.3,0.0,0.0,27.0,2.9
12,2018-11-08 12:00:00,14.4,69.3,0.0,0.0,44.5,4.1
13,2018-11-08 13:00:00,14.3,71.3,0.0,0.0,6.5,4.0
14,2018-11-08 14:00:00,13.8,71.7,0.0,0.0,0.0,3.1
15,2018-11-08 15:00:00,12.8,76.7,0.0,0.0,0.0,1.9
16,2018-11-08 16:00:00,11.2,84.7,0.0,0.0,0.0,1.8
17,2018-11-08 17:00:00,10.2,88.7,0.0,0.0,0.0,0.7
18,2018-11-08 18:00:00,10.2,89.7,0.0,0.3,0.0,0.7
19,2018-11-08 19:00:00,9.8,91.3,0.0,0.3,0.0,0.8
20,2018-11-08 20:00:00,9.5,92.3,0.0,0.0,0.0,0.4
21,2018-11-08 21:00:00,8.8,95.0,0.0,0.0,0.0,0.9
22,2018-11-08 22:00:00,8.7,95.7,0.0,0.0,0.0,0.6
23,2018-11-08 23:00:00,8.4,96.3,0.0,0.0,0.0,1.3
24,2018-11-09 00:00:00,7.8,97.0,0.0,0.0,0.0,1.1
25,2018-11-09 01:00:00,7.9,98.3,0.0,0.0,0.0,0.7
26,2018-11-09 02:00:00,7.2,97.7,0.0,0.0,0.0,1.5
27,2018-11-09 03:00:00,6.9,97.7,0.0,0.0,0.0,3.1
28,2018-11-09 04:00:00,6.8,98.3,0.0,0.0,0.0,2.8
29,2018-11-09 05:00:00,6.6,97.3,0.0,0.0,0.0,2.2
30,2018-11-09 06:00:00,6.9,97.7,0.0,0.0,0.0,2.7
31,2018-11-09 07:00:00,7.6,97.3,0.0,0.0,0.0,3.0
32,2018-11-09 08:00:00,9.0,94.0,0.0,0.0,0.0,3.1
33,2018-11-09 09:00:00,10.6,86.0,0.0,0.0,0.0,3.1
34,2018-11-09 10:00:00,11.0,81.3,0.0,0.0,0.0,4.0
35,2018-11-09 11:00:00,11.2,79.7,0.0,0.0,0.0,4.5
36,2018-11-09 12:00:00,11.1,79.3,0.0,0.0,0.0,4.5
37,2018-11-09 13:00:00,10.9,79.3,0.0,0.0,0.0,4.2
38,2018-11-09 14:00:00,10.7,80.7,0.0,0.0,0.0,4.4
39,2018-11-09 15:00:00,10.4,80.7,0.0,0.0,0.0,4.3
40,2018-11-09 16:00:00,10.1,82.0,0.0,0.0,0.0,3.5
41,2018-11-09 17:00:00,9.7,84.3,0.0,0.0,0.0,2.8
42,2018-11-09 18:00:00,8.8,87.7,0.0,0.0,0.0,2.1
43,2018-11-09 19:00:00,8.3,90.3,0.0,0.0,0.0,3.1
44,2018-11-09 20:00:00,8.5,88.7,0.0,0.0,0.0,4.1
45,2018-11-09 21:00:00,8.2,89.7,0.0,0.0,0.0,4.2
46,2018-11-09 22:00:00,7.6,91.0,0.0,0.0,0.0,4.0
47,2018-11-09 23:00:00,8.2,89.3,0.0,0.0,0.0,4.4
48,2018-11-10 00:00:00,8.3,88.7,0.0,0.0,0.0,5.3
49,2018-11-10 01:00:00,8.5,88.3,0.0,0.0,0.0,6.1
50,2018-11-10 02:00:00,8.5,88.7,0.0,0.0,0.0,6.5
51,2018-11-10 03:00:00,8.8,87.7,0.0,0.0,0.0,6.6
52,2018-11-10 04:00:00,8.8,87.7,0.0,0.0,0.0,6.9
53,2018-11-10 05:00:00,8.9,87.3,0.0,0.0,0.0,7.8
54,2018-11-10 06:00:00,8.9,86.7,0.0,0.0,0.0,7.6
55,2018-11-10 07:00:00,9.1,85.7,0.0,0.0,2.5,7.8
56,2018-11-10 08:00:00,9.8,82.0,0.0,0.0,47.0,7.8
57,2018-11-10 09:00:00,10.9,77.0,0.0,0.0,60.0,8.1
58,2018-11-10 10:00:00,11.5,73.7,0.0,0.0,60.0,9.2
59,2018-11-10 11:00:00,11.8,72.3,0.0,0.0,60.0,10.3
60,2018-11-10 12:00:00,12.1,71.0,0.0,0.0,60.0,9.0
61,2018-11-10 13:00:00,11.8,72.3,0.0,0.0,60.0,8.4
62,2018-11-10 14:00:00,11.6,73.3,0.0,0.0,60.0,7.6
63,2018-11-10 15:00:00,10.7,76.3,0.0,0.0,43.0,7.4
64,2018-11-10 16:00:00,9.8,81.0,0.0,0.0,4.5,7.0
65,2018-11-10 17:00:00,9.3,83.3,0.0,0.0,0.0,6.5
66,2018-11-10 18:00:00,9.3,83.7,0.0,0.0,0.0,6.7
67,2018-11-10 19:00:00,9.1,84.3,0.0,0.0,0.0,6.7
68,2018-11-10 20:00:00,9.1,83.7,0.0,0.0,0.0,6.6
69,2018-11-10 21:00:00,8.9,83.3,0.0,0.0,0.0,6.7
70,2018-11-10 22:00:00,8.8,82.7,0.0,0.0,0.0,7.0
71,2018-11-10 23:00:00,8.5,83.3,0.0,0.0,0.0,7.2
72,2018-11-11 00:00:00,8.2,84.0,0.0,0.0,0.0,7.2
73,2018-11-11 01:00:00,8.4,82.3,0.0,0.0,0.0,6.8
74,2018-11-11 02:00:00,8.1,83.0,0.0,0.0,0.0,6.3
75,2018-11-11 03:00:00,8.0,83.7,0.0,0.0,0.0,6.1
76,2018-11-11 04:00:00,6.9,87.0,0.0,0.0,0.0,5.0
77,2018-11-11 05:00:00,7.0,88.0,0.0,0.0,0.0,5.4
78,2018-11-11 06:00:00,7.5,85.7,0.0,0.0,0.0,6.4
79,2018-11-11 07:00:00,8.5,82.0,0.0,0.0,0.0,6.0
80,2018-11-11 08:00:00,9.0,81.3,0.0,0.7,0.0,5.9
81,2018-11-11 09:00:00,9.8,78.7,0.0,0.0,0.5,6.3
82,2018-11-11 10:00:00,10.4,76.0,0.0,0.0,6.0,6.2
83,2018-11-11 11:00:00,10.9,74.7,0.0,0.0,34.5,5.8
84,2018-11-11 12:00:00,11.3,74.3,0.0,0.3,0.0,5.2
85,2018-11-11 13:00:00,13.1,67.3,0.0,0.0,33.5,3.9
86,2018-11-11 14:00:00,13.1,67.7,0.0,0.0,60.0,3.9
87,2018-11-11 15:00:00,12.1,72.0,0.0,0.0,56.0,3.8
88,2018-11-11 16:00:00,10.7,77.0,0.0,0.0,6.5,5.2
89,2018-11-11 17:00:00,10.0,79.7,0.0,0.0,0.0,7.3
90,2018-11-11 18:00:00,10.2,80.3,0.0,0.0,0.0,6.2
91,2018-11-11 19:00:00,10.1,81.7,0.0,0.0,0.0,6.0
92,2018-11-11 20:00:00,10.3,82.7,0.0,0.0,0.0,6.1
93,2018-11-11 21:00:00,10.6,81.7,0.0,0.0,0.0,6.1
94,2018-11-11 22:00:00,11.0,79.7,0.0,0.0,0.0,6.0
95,2018-11-11 23:00:00,10.6,80.7,0.0,0.0,0.0,6.3
96,2018-11-12 00:00:00,9.7,83.0,0.0,0.0,0.0,5.9
97,2018-11-12 01:00:00,9.3,84.7,0.0,0.0,0.0,5.9
98,2018-11-12 02:00:00,9.5,83.0,0.0,0.0,0.0,5.8
99,2018-11-12 03:00:00,9.4,83.0,0.0,0.0,0.0,5.6
100,2018-11-12 04:00:00,9.0,84.0,0.0,0.0,0.0,3.6
101,2018-11-12 05:00:00,8.9,83.3,0.0,0.0,0.0,5.8
102,2018-11-12 06:00:00,9.0,83.0,0.0,0.0,0.0,6.9
103,2018-11-12 07:00:00,9.0,83.0,0.0,0.0,3.0,7.1
104,2018-11-12 08:00:00,9.1,81.7,0.0,0.0,3.0,7.2
105,2018-11-12 09:00:00,9.7,82.0,0.0,0.0,14.5,8.8
106,2018-11-12 10:00:00,10.8,80.0,0.0,0.0,5.5,8.9
107,2018-11-12 11:00:00,12.4,72.7,0.0,0.0,60.0,8.4
108,2018-11-12 12:00:00,12.2,71.7,0.0,0.0,60.0,7.2
109,2018-11-12 13:00:00,11.8,73.7,0.0,0.0,60.0,9.0
110,2018-11-12 14:00:00,11.4,76.3,0.0,0.0,60.0,10.3
111,2018-11-12 15:00:00,10.8,79.3,0.0,0.0,43.0,10.1
112,2018-11-12 16:00:00,10.3,82.3,0.0,0.0,0.0,9.7
113,2018-11-12 17:00:00,10.3,81.7,0.0,0.0,0.0,9.2
114,2018-11-12 18:00:00,10.2,81.7,0.0,0.0,0.0,7.8
115,2018-11-12 19:00:00,10.1,81.3,0.0,0.0,0.0,7.0
116,2018-11-12 20:00:00,9.9,82.0,0.0,0.0,0.0,6.8
117,2018-11-12 21:00:00,10.1,80.7,0.0,0.0,0.0,7.7
118,2018-11-12 22:00:00,10.3,79.0,0.0,0.0,0.0,6.0
119,2018-11-12 23:00:00,10.4,80.0,0.0,0.0,0.0,5.2
120,2018-11-13 00:00:00,10.3,79.7,0.0,0.0,0.0,5.7
121,2018-11-13 01:00:00,9.9,82.0,0.0,0.0,0.0,4.9
122,2018-11-13 02:00:00,9.7,83.0,0.0,0.0,0.0,5.6
123,2018-11-13 03:00:00,9.5,83.0,0.0,0.0,0.0,5.9
124,2018-11-13 04:00:00,9.6,80.7,0.0,0.0,0.0,6.1
125,2018-11-13 05:00:00,9.5,81.7,0.0,0.0,0.0,5.1
126,2018-11-13 06:00:00,9.6,81.3,0.0,0.0,0.0,4.5
127,2018-11-13 07:00:00,9.7,81.7,0.0,0.0,0.0,4.2
128,2018-11-13 08:00:00,10.0,82.0,0.0,0.3,0.0,2.9
129,2018-11-13 09:00:00,10.5,81.3,0.0,1.0,0.0,2.9
130,2018-11-13 10:00:00,10.7,83.3,0.0,0.3,0.0,2.8
131,2018-11-13 11:00:00,10.4,92.3,0.6,1.0,0.0,3.3
132,2018-11-13 12:00:00,10.7,93.0,0.7,1.0,0.0,3.5
133,2018-11-13 13:00:00,10.7,92.3,0.0,0.7,0.0,3.9
134,2018-11-13 14:00:00,10.7,93.3,1.0,1.0,0.0,5.0
135,2018-11-13 15:00:00,10.7,92.0,0.4,1.0,0.0,3.6
136,2018-11-13 16:00:00,10.5,87.7,0.0,0.0,0.0,4.6
137,2018-11-13 17:00:00,9.5,91.7,0.1,0.3,0.0,6.0
138,2018-11-13 18:00:00,9.1,88.7,0.0,0.0,0.0,4.8
139,2018-11-13 19:00:00,9.6,84.3,0.0,0.3,0.0,5.7
140,2018-11-13 20:00:00,9.8,80.7,0.1,1.0,0.0,5.5
141,2018-11-13 21:00:00,8.4,85.3,0.0,0.0,0.0,3.3
142,2018-11-13 22:00:00,8.0,86.3,0.0,0.0,0.0,3.3
